,variable,label,unique_values,variable_type
2050,f2fc21,Do you pay support for any of those other children?,6.0,categorical
2051,f2fc21a,Int Chk: Does father have only one other child that doesn't live w/him?,4.0,categorical
2052,f2fc21b,For how many of these other children do you pay child support?,6.0,continuous
2053,f2fc21c,About how much child support did you give these children in past 12 mths?,458.0,continuous
2054,f2fc21c1,Could you please give me a range of child support paid in past 12 months?,12.0,categorical
2055,f2fc21i,How many of these children (in f2c20b) do you pay child support for?,7.0,continuous
2056,f2fc22,"Not including this child's mother, to how many women do you pay child support?",9.0,continuous
2057,f2d1,Int Chk: Were parents in any kind of rel. at baseline or at follow-up?,4.0,categorical
2058,fx2d1,"TCO-Since child's birth, how has your rel. w/mother been?",2.0,categorical
2059,f2d1a,Int Chk: Does mother have any contact with child?,4.0,categorical
2060,f2d2a,"How often-When w/child, mother acts like mother you want for child?",9.0,categorical
2061,f2d2b,How often-Can you trust mother to take good care of child?,8.0,categorical
2062,f2d2c,How often-Does mother respect schedules/rules you make for child?,9.0,categorical
2063,f2d2d,How often-Does mother support you in the way you want to raise child?,8.0,categorical
2064,f2d2e,How often-You & mother talk about probs that come up raising child?,8.0,categorical
2065,f2d3,How is your relationship with child's mother?,10.0,categorical
2066,f2d3a,How often do you & child's mother argue about things that are important to you?,10.0,categorical
2067,f2d4,Int Chk: Are parents currently married or rom. involved?,4.0,categorical
2068,f2d5a,How often is mother-fair and willing to compromise?,7.0,categorical
2069,f2d5b,How often does mother-express affection or love?,7.0,categorical
2070,f2d5c,How often does mother-insult or criticize you?,7.0,categorical
2071,f2d5d,How often does mother-encourage/help w/things important to you?,7.0,categorical
2072,f2d5e,How often does mother-try to isolate you from friends/family?,7.0,categorical
2073,f2d5f,How often does mother-try to prevent you from going to work/school?,7.0,categorical
2074,f2d5g,How often does mother-withhold/ try to control your money?,7.0,categorical
2075,f2d5h,How often does mother-listen when you need someone to talk to?,7.0,categorical
2076,f2d5i,How often does mother-really understand your hurts and joys?,7.0,categorical
2077,f2d6,Int Chk: Were parents married or rom. involved when child was born?,4.0,categorical
2078,f2d7a,How oft during last mon/rel was mother-Fair and willing to compromise?,7.0,categorical
2079,f2d7b,How oft during last mon/rel did mother-Express affection or love for you?,7.0,categorical
2080,f2d7c,How oft during last mon/rel did mother-Insult or criticize you?,7.0,categorical
2081,f2d7d,How oft during last mon/rel did mother-Encourage/help w/things important to you?,7.0,categorical
2082,f2d7e,How oft during last mon/rel did mother-Try to isolate you from friends/family?,7.0,categorical
2083,f2d7f,How oft during last mon/rel did mother-Try to keep you from work/school?,7.0,categorical
2084,f2d7g,How oft during last mon/rel did mother-Withhold/ try to control your money?,7.0,categorical
2085,f2d7h,How oft during last mon/rel did mother-Listen when u needed someone to talk to?,7.0,categorical
2086,f2d7i,How oft during last mon/rel did mother-Really understand your hurts and joys?,7.0,categorical
2087,f2e1,Int Chk: Are mother and father currently living together?,4.0,categorical
2088,f2e2,Are you currently in romantic relationship w/other than mother?,6.0,categorical
2089,f2e2a2,Int Chk: Are mother and father married?,4.0,categorical
2090,f2e2b,Are you married to current partner?,4.0,categorical
2091,f2e2c,Do you and current partner live together most of the time?,4.0,categorical
2092,f2e2d,Int Chk: Does child live away from father?,4.0,categorical
2093,f2e3a,# Days/week curr. partner play games like peek-a-boo or gotcha w/child?,13.0,categorical
2094,f2e3b,# Days/week curr. partner sing songs or nursery rhymes to child?,13.0,categorical
2095,f2e3c,# Days/week curr. partner read stories to child?,12.0,categorical
2096,f2e3d,# Days/week curr. partner tell stories to child?,12.0,categorical
2097,f2e3e,# Days/week curr. partner play inside w/toys such as blocks or legos w/child?,13.0,categorical
2098,f2e3f,# Days/week curr. partner take child to visit relatives?,12.0,categorical
2099,f2e3g,# Days/week curr. partner changes child's diaper?,13.0,categorical
2100,f2e3h,# Days/week curr. partner feeds or gives a bottle to child?,13.0,categorical
2101,f2e3i,# Days/week curr. partner hug or show physical affection to child?,14.0,categorical
2102,f2e3j,# Days/week curr. partner put child to bed?,14.0,categorical
2103,f2e4,Has partner spanked child in the past month?,5.0,categorical
2104,f2e4a,How often has partner spanked child in past month?,5.0,categorical
2105,cf2marp,Constructed - Is father married to new partner?,3.0,categorical
2106,cf2cohp,Constructed - Is father cohabiting with a new partner?,4.0,categorical
2107,f2f0,Int Chk: Are mother and father currently living together?,3.0,categorical
2108,f2f1,"Not counting yourself, how many people currently live with you?",14.0,categorical
2109,f2f2b1,Is first person male or female?,5.0,categorical
2110,f2f2b2,Is second person male or female?,4.0,categorical
2111,f2f2b3,Is third person male or female?,4.0,categorical
2112,f2f2b4,Is fourth person male or female?,4.0,categorical
2113,f2f2b5,Is fifth person male or female?,4.0,categorical
2114,f2f2b6,Is sixth person male or female?,5.0,categorical
2115,f2f2b7,Is seventh person male or female?,4.0,categorical
2116,f2f2b8,Is eighth person male or female?,4.0,categorical
2117,f2f2b9,Is ninth person male or female?,2.0,categorical
2118,f2f2b10,Is tenth person male or female?,3.0,categorical
2119,f2f2c1,What is first person's age? (Years),87.0,continuous
2120,f2f2c2,What is second person's age? (Years),87.0,continuous
2121,f2f2c3,What is third person's age? (Years),58.0,continuous
2122,f2f2c4,What is fourth person's age? (Years),46.0,continuous
2123,f2f2c5,What is fifth person's age? (Years),30.0,continuous
2124,f2f2c6,What is sixth person's age? (Years),20.0,continuous
2125,f2f2c7,What is seventh person's age? (Years),15.0,continuous
2126,f2f2c8,What is eighth person's age? (Years),6.0,continuous
2127,f2f2c9,What is ninth person's age? (Years),2.0,continuous
2128,f2f2c10,What is tenth person's age? (Years),3.0,continuous
2129,f2f2d1,What is first person's relationship to you?,17.0,categorical
2130,f2f2d2,What is second person's relationship to you?,17.0,categorical
2131,f2f2d3,What is third person's relationship to you?,15.0,categorical
2132,f2f2d4,What is fourth person's relationship to you?,13.0,categorical
2133,f2f2d5,What is fifth person's relationship to you?,10.0,categorical
2134,f2f2d6,What is sixth person's relationship to you?,10.0,categorical
2135,f2f2d7,What is seventh person's relationship to you?,6.0,categorical
2136,f2f2d8,What is eighth person's relationship to you?,4.0,categorical
2137,f2f2d9,What is ninth person's relationship to you?,2.0,categorical
2138,f2f2d10,What is tenth person's relationship to you?,4.0,categorical
2139,f2f2e1,Is first person working?,7.0,categorical
2140,f2f2e2,Is second person working?,6.0,categorical
2141,f2f2e3,Is third person working?,6.0,categorical
2142,f2f2e4,Is fourth person working?,5.0,categorical
2143,f2f2e5,Is fifth person working?,5.0,categorical
2144,f2f2e6,Is sixth person working?,4.0,categorical
2145,f2f2e7,Is seventh person working?,3.0,categorical
2146,f2f2e8,Is eighth person working?,2.0,categorical
2147,f2f2e9,Is ninth person working?,2.0,categorical
2148,f2f2e10,Is tenth person working?,2.0,categorical
2149,cf2adult,Constructed - # of adults in HH,11.0,continuous
2150,cf2kids,Constructed - # of children in HH,14.0,continuous
2151,cf2gdad,Constructed - Baby's grandfather in the HH,3.0,categorical
2152,cf2gmom,Constructed - Baby's grandmother in the HH,3.0,categorical
2153,f2g1a,In what country/territory was your father born?,10.0,categorical
2154,f2g1b,In what country/territory was your mother born?,10.0,categorical
2155,f2g1c,Int Chk: Were both parents born in the U.S.?,3.0,categorical
2156,f2g1d,Are you a U.S. citizen?,6.0,categorical
2157,fx2g1,TCO-which of your bio. parents was born in the U.S.?,2.0,categorical
2158,f2g2,What is highest grade of school that your biological mother completed?,15.0,categorical
2159,f2g2c,Which grade of HS did your biological mother complete?,7.0,continuous
2160,f2g3,What is highest grade of school biological father completed?,16.0,categorical
2161,f2g3c,Which grade of HS did your biological father complete?,7.0,continuous
2162,f2g4,Int Chk: Was father interviewed at baseline?,3.0,categorical
2163,f2g5,Which of the following best describes your race?,11.0,categorical
2164,f2g5a,Are you of Hispanic or Latino decent?,7.0,categorical
2165,f2g5b,"Are you Mexican, Puerto Rican, Cuban, or Other Hispanic?",9.0,unknown
2166,f2g6a,Agree/disagree:I feel an attachment to my own race/ethnic heritage.,7.0,categorical
2167,f2g6b,Agree/disagree:I participate in cultural practices of my own group.,7.0,categorical
2168,f2g6c,How often do you go to a religious service?,9.0,categorical
2169,f2g7,Since birth have you received financial support from anyone other than mother?,5.0,categorical
2170,f2g7a1,Who gave you financial help/money?-respondents' Parents,6.0,categorical
2171,f2g7a2,Who gave you financial help/money?-Other paternal relatives,6.0,categorical
2172,f2g7a3,Who gave you financial help/money?-mother's parents,6.0,categorical
2173,f2g7a4,Who gave you financial help/money?-Other maternal relatives,6.0,categorical
2174,f2g7a5,Who gave you financial help/money?-Friends,6.0,categorical
2175,f2g7a6,Who gave you financial help/money?-Girlfriend/partner,6.0,categorical
2176,f2g7a7,Who gave you financial help/money?-Partner's family,6.0,categorical
2177,f2g7a8,Who gave you financial help/money?-Other,10.0,categorical
2178,f2g7b,How much financial help were you given since child was born?-($ Amount),698.0,continuous
2179,f2g7c,How much financial help were you given since child was born?-($ Range),12.0,categorical
2180,f2g8a,"In the next year,could you count on someone to loan you $200?",4.0,categorical
2181,f2g8a1,"In the next year,could you count on someone to loan you $1000?",5.0,categorical
2182,f2g8b,"In the next year,could you count on someone to provide you w/a place to live?",5.0,categorical
2183,f2g8c,"In the next year, could you count on someone to help w/emergency child care?",5.0,categorical
2184,f2g8d,"In the next year, could you count on someone to co-sign a $1000 bank loan w/you?",5.0,categorical
2185,f2g8d1,"In the next year, could you count on someone to co-sign a $5000 bank loan w/you?",6.0,categorical
2186,f2g9,Was your biological father involved in your life when growing up?,6.0,categorical
2187,f2g9a,Did you know biological father when growing up?,6.0,categorical
2188,f2g10,Was there another man that was like a father to you when growing up?,6.0,categorical
2189,f2g10a,Who was the man that served as you father figure?,15.0,categorical
2190,f2g11a,Int Chk: Did respondent know his biological father?,3.0,categorical
2191,f2g11b,Int Chk: Did respondent have a father-figure?,4.0,categorical
2192,f2g12a,How well do you get along with your father now?,8.0,categorical
2193,f2g12b,How well do you get along with your father figure now?,9.0,categorical
2194,f2g12c,How well do you get along with your mother now?,7.0,categorical
2195,f2g12d,Int Chk: Are respondent's parents both deceased or unknown?,3.0,categorical
2196,f2g13,How well does mother get along with your parents?,10.0,categorical
2197,f2g14,How well do you get along with child's mother's parents?,9.0,categorical
2198,f2g14a,Int Chk: Are respondent's parents both deceased?,3.0,categorical
2199,f2g15,How often does child see your parents?,11.0,categorical
2200,f2g15a,Int Chk: Are mother's parents both deceased?,3.0,categorical
2201,f2g16,How often does child see mother's parents?,9.0,categorical
2202,f2h1,Have you moved since child was born?,5.0,categorical
2203,f2h1a,How many times have you moved since child's birth?,11.0,continuous
2204,f2h2,What is current living situation?,15.0,categorical
2205,f2h3,Approx how much could you sell this home for today?,619.0,continuous
2206,f2h3a,How much is owed on this house?,557.0,continuous
2207,f2h3b,What are the monthly mortgage payments(Incl Taxes & Insurance)?,540.0,continuous
2208,f2h3c,Int Chk: Does respondent live in a house or condo owned by another family member,4.0,categorical
2209,f2h4,How much rent is payed each month?,1874.0,continuous
2210,f2h5,Is this home in a public housing project?,6.0,categorical
2211,f2h5a,"Int Chk: Does respondent live with family or friends, but pay no rent?",4.0,categorical
2212,f2h6,"Is fed, state, or local gov helping to pay rent?",6.0,categorical
2213,f2h7a,"Since child's birth, have you received help from-employment/welfare agency?",5.0,categorical
2214,f2h7b,"Since child's birth, have you had help from-fatherhood programs?",5.0,categorical
2215,f2h7c,"What other kinds of help have you received(Except TANF or welfare)?- Other, spec",13.0,categorical
2216,f2h8a1,In past 12 months have you received help from Welfare or TANF?,5.0,categorical
2217,f2h8a2,"In past 12 months, have you received help from food stamps?",5.0,categorical
2218,f2h8a3,"In past 12 months, have you received unemployment/wrkms comp?",10.0,categorical
2219,f2h8b1,How many mons did you receive help from welfare/TANF in last 12 mons?,15.0,continuous
2220,f2h8b2,How many mons did you receive help from food stamps in last 12 mons,15.0,continuous
2221,f2h8b3,How many mons did you receive other assistance in last 12 mons,13.0,continuous
2222,f2h8c1,How much help did you receive from welfare in the last month?,62.0,continuous
2223,f2h8c2,How much help did you receive from food stamps in the last month?,240.0,continuous
2224,f2h8c3,How much help did you receive from other assistance in the last month?,143.0,continuous
2225,f2h9,Int Chk: Did father receive welfare or TANF in the last 12 months?,3.0,categorical
2226,f2h9a,Are you currently receiving welfare or TANF support?,5.0,categorical
2227,f2h9b1,For how long have you been receiving welfare/TANF?-(Years),8.0,continuous
2228,f2h9b2,For how long have you been receiving welfare/TANF?-(month),12.0,continuous
2229,f2h9c,Have you ever received welfare/TANF?,6.0,categorical
2230,f2h9d1,When did you last receive welfare/TANF?-(Month),1.0,categorical
2231,f2h9d2,When did you last receive welfare/TANF?-(Year),21.0,categorical
2232,f2h10,Do you or child receive SSI?,5.0,categorical
2233,f2h10a,Who receives SSI?,6.0,categorical
2234,f2h10b,How many months in the last 12 did you/child receive SSI?,14.0,continuous
2235,f2h10c,Approximately how much did you receive each month?,63.0,continuous
2236,f2h11,Int Chk: Was respondent on welfare or TANF in the last 12 months?,3.0,categorical
2237,f2h12,Were you required to work/school/look for job/name mother to get benefits?,4.0,categorical
2238,f2h12a1,What were you required to do?-Look for a job,5.0,categorical
2239,f2h12a2,What were you required to do?-Work in a paid job,5.0,categorical
2240,f2h12a3,What were you required to do?-Work in an unpaid job,4.0,categorical
2241,f2h12a4,What were you required to do?-Attend school or training,5.0,categorical
2242,f2h12a5,What were you required to do?-Be named as father of child,4.0,categorical
2243,f2h12a6,What were you required to do?-Other,4.0,unknown
2244,f2h13,Were benefits reduced or cut in last year because you did not fulfill reqs?,4.0,categorical
2245,f2h14,Was there point/last 12 mths you thought you might be eligible for welfare?,6.0,categorical
2246,f2h14a,Did you apply for welfare in past 12 months?,5.0,categorical
2247,fx2h14a,TCO-Did you ever apply for welfare?,2.0,categorical
2248,f2h14b,What happened with the application for welfare?,5.0,categorical
2249,f2h15,Int Chk: Has respondent received food stamps in the past 12 months?,3.0,categorical
2250,f2h16,Was there point/last 12 mths you thought you might be eligible for food stamps?,6.0,categorical
2251,f2h16a,Did you apply for food stamps in past 12 months?,4.0,categorical
2252,fx2h16a,TCO-Did you ever apply for food stamps?,2.0,categorical
2253,f2h16b,What happened with the application for food stamps?,6.0,categorical
2254,f2h16c,Did you fill out a federal tax return for previous year?,6.0,categorical
2255,f2h16c1,Did you fill out a special form to claim EIC?,6.0,categorical
2256,f2h16d,Int Chk: Are father and mother married or living together?,3.0,categorical
2257,f2h17a,"In past 12 months, did you-Receive free food/meals?",6.0,categorical
2258,f2h17b,"In past 12 months, did your-Children go hungry?",5.0,categorical
2259,f2h17c,"In past 12 months, did you-Go hungry?",5.0,categorical
2260,f2h17d,"In past 12 months, did you-Not pay full amount of rent/mortgage?",6.0,categorical
2261,f2h17e,"In past 12 months, did you-Get evicted for not paying rent/mortgage?",6.0,categorical
2262,f2h17f,"In past 12 months, did you-Not pay full gas/oil/electric bill?",6.0,categorical
2263,f2h17g,"In past 12 months, did your-Gas/electric/oil get shut-off or withheld?",6.0,categorical
2264,f2h17h,"In past 12 months, did your-Telephone service get disconnected for nonpayment?",6.0,categorical
2265,f2h17i,"In past 12 months, did you-Borrow from family/friends to pay bills?",5.0,categorical
2266,f2h17j,"In past 12 months, did you-Move in w/people because of financial problems?",6.0,categorical
2267,f2h17k,"In past 12 months, did you-Stay in shelter/abanbnd bdg/car for even one night?",6.0,categorical
2268,f2h17l,"In past 12 mths, did-Anyone in house need med but couldn't go because of cost?",6.0,categorical
2269,f2fh18,Have you been stopped by police but not arrested (not for traffic)?,5.0,categorical
2270,f2fh19,Have you ever been booked or charged w/breaking law?,5.0,categorical
2271,f2fh20,Do you have any charges pending against you?,6.0,categorical
2272,f2fh20a,How many charges do you have pending against you?,14.0,continuous
2273,f2h20b1,What charges do you have pending ?-Assault,1.0,categorical
2274,f2h20b2,What charges do you have pending ?-Robbery,1.0,categorical
2275,f2h20b3,What charges do you have pending ?-Theft,1.0,categorical
2276,f2h20b4,What charges do you have pending ?-Theft by deception,1.0,categorical
2277,f2h20b5,What charges do you have pending ?-Crime related to stolen property,1.0,categorical
2278,f2h20b6,What charges do you have pending ?-Destruction of property,1.0,categorical
2279,f2h20b7,What charges do you have pending ?-Other property offense,1.0,categorical
2280,f2h20b8,What charges do you have pending ?-Gambling,1.0,categorical
2281,f2h20b9,What charges do you have pending ?-Commercial vice,1.0,categorical
2282,f2h20b10,What charges do you have pending ?-Possession/use of marijuana/hashish,1.0,categorical
2283,f2h20b11,What charges do you have pending ?-Sale of marijuana or hashish,1.0,categorical
2284,f2h20b12,What charges do you have pending ?-Possession of other illicit drugs,1.0,categorical
2285,f2h20b13,What charges do you have pending ?-Sale/manufacture of other illicit drugs,1.0,categorical
2286,f2h20b14,What charges do you have pending ?-Major Traffic offense,1.0,categorical
2287,f2h20b15,What charges do you have pending ?-Underage drinking/purchase of alcohol,1.0,categorical
2288,f2h20b16,What charges do you have pending ?-Status offense,1.0,categorical
2289,f2h20b17,What charges do you have pending ?-Non payment of child support,1.0,categorical
2290,f2h20b18,What charges do you have pending ?-Parole or probation violation,1.0,categorical
2291,f2h20b19,What charges do you have pending ?-Other,1.0,categorical
2292,f2fh21,Have you ever been convicted of any charges(Not minor traffic)?,6.0,categorical
2293,f2fh21a,How many times have you been convicted of something?,19.0,continuous
2294,f2fh21b,How old were you the first time you were convicted?,1.0,categorical
2295,f2fh21c2,When was your most recent conviction?-(Year),1.0,continuous
2296,f2h21d1,What charges were you convicted of ?-Assault,1.0,categorical
2297,f2h21d2,What charges were you convicted of ?-Robbery,1.0,categorical
2298,f2h21d3,What charges were you convicted of ?-Theft,1.0,categorical
2299,f2h21d4,What charges were you convicted of ?-Theft by deception,1.0,categorical
2300,f2h21d5,What charges were you convicted of ?-Crime related to stolen property,1.0,categorical
2301,f2h21d6,What charges were you convicted of ?-Destruction of property,1.0,categorical
2302,f2h21d7,What charges were you convicted of ?-Other property offense,1.0,categorical
2303,f2h21d8,What charges were you convicted of ?-Gambling,1.0,categorical
2304,f2h21d9,What charges were you convicted of ?-Commercial vice,1.0,categorical
2305,f2h21d10,What charges were you convicted of ?-Possession/use of marijuana/hashish,1.0,categorical
2306,f2h21d11,What charges were you convicted of ?-Sale of marijuana/hashish,1.0,categorical
2307,f2h21d12,What charges were you convicted of ?-Possession of other illicit drugs,1.0,categorical
2308,f2h21d13,What charges were you convicted of ?-Sale/maufacture of other illicit drugs,1.0,categorical
2309,f2h21d14,What charges were you convicted of ?-Major traffic offense,1.0,categorical
2310,f2h21d15,What charges were you convicted of ?-Underage drinking/purchase of alcohol,1.0,categorical
2311,f2h21d16,What charges were you convicted of ?-Status offense,1.0,categorical
2312,f2h21d17,What charges were you convicted of ?-Non payment of child support,1.0,categorical
2313,f2h21d18,What charges were you convicted of ?-Parole or probation violation,1.0,categorical
2314,f2h21d19,What charges were you convicted of ?-Other,1.0,categorical
2315,f2fh22,Have you ever spent time in correctional institution?,5.0,categorical
2316,f2fh22a,How many times were you sent to a correctional institution?,21.0,continuous
2317,f2fh23,Was any of this time spent in youth/reform school correctional facilities?,6.0,categorical
2318,f2fh23a,"Altogether, how much time did you serve in youth correctional facilities? (month",39.0,unknown
2319,f2fh24,Did you spend any time in adult correctional facilities?,4.0,categorical
2320,f2fh24a,"Altogether, how much time did you serve in adult correctional facilities? (month",58.0,continuous
2321,f2fh25,How old were you the first time you were incarcerated?,1.0,categorical
2322,f2fh25a2,When were you most recently incarcerated?-(Year),30.0,continuous
2323,f2fh26b,When were you most recently released from incarceration?-(Year),22.0,categorical
2324,f2fh27,Were you required to perform community service/be on probation?,5.0,categorical
2325,cf2finjail,"Constructed - father report, father in jail at his 1 yr interview",2.0,unknown
2326,cmf2finjail,"Constructed - mother and father reports, father in jail at either 1 yr interview",2.0,unknown
2327,cf2fevjail,"Constructed - father reports, dad ever in jail by his 1yr interview",2.0,unknown
2328,cmf2fevjail,"Constructed - mother and father reports, dad ever in jail by either 1yr intervie",2.0,unknown
2329,f2j1,"In general, how is your health?",7.0,categorical
2330,f2j2,Do you have a serious health problem that limits the work you can do?,5.0,categorical
2331,f2j3,Are you/children covered by Medicaid or another assistance pgms or HMO?,5.0,categorical
2332,f2j3a,Who is covered by this program?,6.0,categorical
2333,f2j4,Are you/children currently covered by private health plan?,6.0,categorical
2334,f2j4a,Who is covered by private insurance?,7.0,categorical
2335,f2j4b1,Who purchased the health insurance plan?-self,6.0,categorical
2336,f2j4b2,Who purchased the health insurance plan? - someone else,6.0,categorical
2337,f2j4b3,Who purchased the health insurance plan?-Through respondent's employer,6.0,categorical
2338,f2j4b4,Who purchased the health insurance plan?-Through child's mother's employer,6.0,categorical
2339,f2j4b5,Who purchased the health insurance plan?-Thru partner's employer,6.0,categorical
2340,f2j4b6,Who purchased the health insurance plan?-Other,8.0,unknown
2341,f2j5,"In past month, did you smoke cigarettes?",5.0,categorical
2342,f2j5a,How many packs per day do you usually smoke?,9.0,categorical
2343,f2j6,"In past month, did you drink alcoholic beverages?",5.0,categorical
2344,f2j6a,How many days in past month did how have 5+ alcoholic beverages?,25.0,continuous
2345,f2j7,In past month did you smoke marijuana or pot?,1.0,categorical
2346,f2j7a,"In past month, how often did you smoke marijuana or pot?",1.0,categorical
2347,f2j8,"In past month, did you use cocaine/crack/speed/LSD/heroin/other hard drug?",1.0,categorical
2348,f2j8a,How often in past month did you use hard drugs?,5.0,categorical
2349,f2j9,"Since child's birth, has drinking/drugs interfered w/how you manage daily?",6.0,categorical
2350,f2j10,"Since child's birth,has drinking/drugs interfered w/your personal relationships?",6.0,categorical
2351,f2j11,"Since child's birth, have you sought help/been treated for drug/alcohol problem?",6.0,categorical
2352,f2j12,"During past 12 mths, have you ever been depressed/sad/blue for 2+ wks in row?",5.0,categorical
2353,f2j13,How much of each day did you feel this way?,7.0,categorical
2354,f2j13a,"During those 2 wks,how many days did you feel this way?",6.0,categorical
2355,f2j13b,"During those 2 wks,did you lose interest in hobbies/work normally pleasurable?",4.0,categorical
2356,f2j13c1,"Int Chk: Was respondent sad, blue  or depressed for 2 weeks?",3.0,categorical
2357,f2j13c2,Int Chk: Did feeling last all/most/half of the day?,3.0,categorical
2358,f2j13c3,Int chk: Did respondent feel this way every day/almost every day?,3.0,categorical
2359,f2j14,During past 12 mths have you ever lost interest in hobbies/work for 2+ weeks?,7.0,categorical
2360,f2j14a,"During that 2 wk period, how long each day did you feel loss of interest?",7.0,categorical
2361,f2j14b,How many days in two week span did you feel this disinterest?,5.0,categorical
2362,f2j15a,"During those 2 wks, did you feel more tired and low on energy than usual?",5.0,categorical
2363,f2j15b,"During those 2 wks, did you gain or lose weight without trying?",7.0,categorical
2364,f2j15b1,About how much weight did you gain/lose?,27.0,continuous
2365,f2j15c,During those 2 wks did you have more trouble falling asleep than you usually do?,5.0,categorical
2366,fx2j15c,TCO-During that time did you gain/lose 10 pounds w/o trying?,2.0,categorical
2367,f2j15c1,"During those 2 wks, how many nights did you have trouble falling asleep?",6.0,categorical
2368,f2j15d,"During those 2 wks, did you have more trouble concentrating than usual?",4.0,categorical
2369,f2j15e,"During those 2 wks, did you feel downon yourself/no good/worthless?",5.0,categorical
2370,f2j15f,"During those 2 wks, did you think about death?",4.0,categorical
2371,f2j16,"During past 12 mths, was there a 1+ mth period when you felt tense/anxious?",5.0,categorical
2372,f2j16a,"During past 12 mths, did you worry a lot more than most people would?",6.0,categorical
2373,f2j16b,Is that period of time still going on?,5.0,categorical
2374,f2j16b1a,How many months or years has this tension been going on?-(Weeks),10.0,continuous
2375,f2j16b1b,How many months or years has this tension been going on?-(Months),18.0,continuous
2376,f2j16b1c,How many months or years has this tension been going on?-(Years),18.0,continuous
2377,f2j16b2a,How many months or years did the tension go on before it ended?-(Weeks),15.0,continuous
2378,f2j16b2b,How many months or years did the tension go on before it ended?-(Months),13.0,continuous
2379,f2j16b2c,How many months or years did the tension go on before it ended?-(Years),10.0,continuous
2380,f2j17,Int Chk: Did worry last 6 months or more?,4.0,categorical
2381,f2j18a,"During this period, was your worry stronger than in other people?",5.0,categorical
2382,f2j18b,Did/do you worry most days?,4.0,categorical
2383,f2j18c,Did/do you worry about one particular thing?,4.0,categorical
2384,f2j18d,Did/do you find it difficult to stop worrying?,4.0,categorical
2385,f2j18e,Did/do you have different worries on your mind at the same time?,4.0,categorical
2386,f2j19,How often is/was your worry so strong you couldn't put it out of your mind?,6.0,categorical
2387,f2j19a,How often did/do you find it difficult to control your worry?,6.0,categorical
2388,f2j20a,"When you were/are worried, were you also-restless?",5.0,categorical
2389,f2j20b,"When you were/are worried, were you also-keyed up/on edge?",5.0,categorical
2390,f2j20c,"When you were/are worried, were you also-easily tired?",5.0,categorical
2391,f2j20d,"When you were/are worried, were you also-having trouble concentrating?",5.0,categorical
2392,f2j20e,"When you were/are worried, were you also-more irritable than usual?",5.0,categorical
2393,f2j20f,"When you were/are worried, were you also-tense/sore/have aching muscles?",4.0,categorical
2394,f2j20g,"When you were/are worried, were you also-having trouble staying/falling asleep?",5.0,categorical
2395,f2j21,Do you agree/disagree-I will often say whatever comes into head w/o thinking,7.0,categorical
2396,f2j22,Do you agree/disagree-Often I don't think enough before I act,7.0,categorical
2397,f2j23,Do you agree/disagree-I often say/do things w/o considering the consequences,7.0,categorical
2398,f2j24,Do you agree/disagree-I get into trouble because I don't think before I act,7.0,categorical
2399,f2j25,Do you agree/disagree-My plans fail because I fail to think them thru first,7.0,categorical
2400,f2j26,Do you agree/disagree-I often make up my mind w/o considering the situation,7.0,categorical
2401,cf2gad_case,Constructed - Father meets anxious criteria at one-year (CIDI),4.0,categorical
2402,cf2md_case_con,Constructed - Father meets depression criteria (conservative) at one-year (CIDI),4.0,categorical
2403,cf2md_case_lib,Constructed - Father meets depression criteria (liberal) at one-year (CIDI),4.0,categorical
2404,f2k1,Int Chk: Was father interviewed at baseline?,3.0,categorical
2405,f2k1a,What is the highest grade or year of school that you've completed?,13.0,categorical
2406,f2k2,Are you currently attending any school or training programs?,4.0,categorical
2407,f2k3a,What kind of school/program are you attending?-Regular HS,5.0,categorical
2408,f2k3b,What kind of school/program are you attending?-ABE or GED,5.0,categorical
2409,f2k3c,What kind of school/program are you attending?-ESL,5.0,categorical
2410,f2k3d,What kind of school/program are you attending?-LPN or RN,5.0,categorical
2411,f2k3e,What kind of school/program are you attending?-Business/Secretarial,5.0,categorical
2412,f2k3f,What kind of school/program are you attending?-Reading improvement,5.0,categorical
2413,f2k3g,What kind of school/program are you attending?-Vocational/tech/trade,5.0,categorical
2414,f2k3h,What kind of school/program are you attending?-Job corps,5.0,categorical
2415,f2k3i,What kind of school/program are you attending?-Jr Coll(2yr),5.0,categorical
2416,f2k3j,What kind of school/program are you attending?-College(4yr),5.0,categorical
2417,f2k3k,What kind of school/program are you attending?-Other school,9.0,unknown
2418,f2k3l,What kind of school/program are you attending?-Other training,5.0,categorical
2419,f2k3m,What kind of school/program are you attending?-Job skills program,5.0,categorical
2420,f2k3n,What kind of school/program are you attending?-Program to help get job,5.0,categorical
2421,f2k3o,What kind of school/program are you attending?-Grad/Professional School,5.0,categorical
2422,f2k4,Int Chk: Was father interviewed at baseline?,3.0,categorical
2423,f2k5,Have you completed any training/schooling since child was born?,5.0,categorical
2424,f2k5a1,What program/schooling have you completed?-Regular HS,5.0,categorical
2425,f2k5a1c,What year of HS did you complete?,5.0,continuous
2426,f2k5a2,What program/schooling have you completed?-ABE or GED,5.0,categorical
2427,f2k5a3,What program/schooling have you completed?-ESL,5.0,categorical
2428,f2k5a4,What program/schooling have you completed?-LPN or RN,5.0,categorical
2429,f2k5a5,What program/schooling have you completed?-Business/Secreterial,5.0,categorical
2430,f2k5a6,What program/schooling have you completed?-Reading improvement,4.0,categorical
2431,f2k5a7,What program/schooling have you completed?-Vocational/tech/trade,5.0,categorical
